s, 0x29, pmu, TDEV1, 26.08
1418399455.681s, 0x03, soc, CCC_THERMAL1, 26.45
1418399457.564s, 0x29, pmu, TDEV1, 26.29
1418399460.571s, 0x29, pmu, TDEV1, 26.25
1418399460.691s, 0x00, soc, THERMAL0, 27.71
1418399460.691s, 0x01, soc, THERMAL1, 28.56
1418399460.691s, 0x02, soc, CCC_THERMAL0, 26.87
1418399463.578s, 0x29, pmu, TDEV1, 26.25
1418399466.585s, 0x29, pmu, TDEV1, 26.29
1418399467.422s, 0x2B, pmu, TDEV3, 26.15
1418399467.724s, wrote at: 2014.12.12.15.51.8
1418399589.307s, 0x00, soc, THERMAL0, 27.71
1418399589.307s, 0x01, soc, THERMAL1, 28.98
1418399589.307s, 0x02, soc, CCC_THERMAL0, 27.71
1418399589.307s, 0x03, soc, CCC_THERMAL1, 29.40
1418399589.307s, 0x04, soc, CCC_THERMAL2, 28.98
1418399589.310s, 0x28, pmu, TJINT, 28.91
1418399589.360s, 0x29, pmu, TDEV1, 25.86
1418399589.364s, 0x2A, pmu, TDEV2, 26.87
1418399589.369s, 0x2B, pmu, TDEV3, 25.97
1418399589.374s, 0x2C, pmu, TDEV4, 28.68
1418399713.494s, 0x00, soc, THERMAL0, 27.71
1418399713.494s, 0x01, soc, THERMAL1, 28.56
1418399713.494s, 0x02, soc, CCC_THERMAL0, 26.87
1418399713.494s, 0x03, soc, CCC_THERMAL1, 26.87
1418399713.494s, 0x04, soc, CCC_THERMAL2, 27.71
1418399713.497s, 0x28, pmu, TJINT, 28.65
1418399713.501s, 0x29, pmu, TDEV1, 25.73
1418399713.506s, 0x2A, pmu, TDEV2, 26.62
1418399713.511s, 0x2B, pmu, TDEV3, 25.69
1418399713.515s, 0x2C, pmu, TDEV4, 28.52
1418399786.201s, wrote at: 2014.12.12.15.56.26
1418410929.371s, 0x00, soc, THERMAL0, 28.56
1418410929.371s, 0x01, soc, THERMAL1, 28.98
1418410929.371s, 0x02, soc, CCC_THERMAL0, 28.56
1418410929.371s, 0x03, soc, CCC_THERMAL1, 29.82
1418410929.371s, 0x04, soc, CCC_THERMAL2, 28.56
1418410929.373s, 0x28, pmu, TJINT, 29.71
1418410929.423s, 0x29, pmu, TDEV1, 26.39
1418410929.428s, 0x2A, pmu, TDEV2, 27.20
1418410929.432s, 0x2B, pmu, TDEV3, 26.36
1418410929.437s, 0x2C, pmu, TDEV4, 29.54
1418411049.371s, 0x00, soc, THERMAL0, 28.14
1418411049.371s, 0x01, soc, THERMAL1, 29.40
1418411049.371s, 0x02, soc, CCC_THERMAL0, 27.71
1418411049.371s, 0x03, soc, CCC_THERMAL1, 27.29
1418411049.371s, 0x04, soc, CCC_THERMAL2, 28.14
1418411049.384s, 0x28, pmu, TJINT, 29.45
1418411049.429s, 0x29, pmu, TDEV1, 26.39
1418411049.434s, 0x2A, pmu, TDEV2, 27.20
1418411049.438s, 0x2B, pmu, TDEV3, 26.32
1418411049.443s, 0x2C, pmu, TDEV4, 28.92
1418411169.381s, 0x00, soc, THERMAL0, 27.71
1418411169.381s, 0x01, soc, THERMAL1, 28.98
1418411169.381s, 0x02, soc, CCC_THERMAL0, 26.87
1418411169.381s, 0x03, soc, CCC_THERMAL1, 26.87
1418411169.381s, 0x04, soc, CCC_THERMAL2, 27.71
1418411169.393s, 0x28, pmu, TJINT, 29.18
1418411169.438s, 0x29, pmu, TDEV1, 26.39
1418411169.443s, 0x2A, pmu, TDEV2, 27.20
1418411169.448s, 0x2B, pmu, TDEV3, 26.25
1418411169.453s, 0x2C, pmu, TDEV4, 28.92
1418411289.390s, 0x00, soc, THERMAL0, 27.71
1418411289.390s, 0x01, soc, THERMAL1, 29.40
1418411289.390s, 0x02, soc, CCC_THERMAL0, 26.87
1418411289.390s, 0x03, soc, CCC_THERMAL1, 26.87
1418411289.390s, 0x04, soc, CCC_THERMAL2, 27.71
1418411289.403s, 0x28, pmu, TJINT, 28.91
1418411289.448s, 0x29, pmu, TDEV1, 26.39
1418411289.453s, 0x2A, pmu, TDEV2, 27.20
1418411289.457s, 0x2B, pmu, TDEV3, 26.25
1418411289.462s, 0x2C, pmu, TDEV4, 28.88
1418411409.400s, 0x00, soc, THERMAL0, 27.71
1418411409.400s, 0x01, soc, THERMAL1, 28.98
1418411409.400s, 0x02, soc, CCC_THERMAL0, 26.87
1418411409.400s, 0x03, soc, CCC_THERMAL1, 26.87
1418411409.400s, 0x04, soc, CCC_THERMAL2, 27.71
1418411409.412s, 0x28, pmu, TJINT, 29.45
1418411409.457s, 0x29, pmu, TDEV1, 26.43
1418411409.462s, 0x2A, pmu, TDEV2, 27.20
1418411409.467s, 0x2B, pmu, TDEV3, 26.22
1418411409.472s, 0x2C, pmu, TDEV4, 28.88
1418411529.409s, 0x00, soc, THERMAL0, 28.14
1418411529.409s, 0x01, soc, THERMAL1, 29.40
1418411529.409s, 0x02, soc, CCC_THERMAL0, 26.87
1418411529.409s, 0x03, soc, CCC_THERMAL1, 27.29
1418411529.409s, 0x04, soc, CCC_THERMAL2, 27.71
1418411529.422s, 0x28, pmu, TJINT, 29.18
1418411529.467s, 0x29, pmu, TDEV1, 26.43
1418411529.472s, 0x2A, pmu, TDEV2, 27.31
1418411529.476s, 0x2B, pmu, TDEV3, 26.29
1418411529.481s, 0x2C, pmu, TDEV4, 28.92
1418411649.419s, 0x00, soc, THERMAL0, 28.14
1418411649.419s, 0x01, soc, THERMAL1, 28.98
1418411649.419s, 0x02, soc, CCC_THERMAL0, 26.87
1418411649.419s, 0x03, soc, CCC_THERMAL1, 26.87
1418411649.419s, 0x04, soc, CCC_THERMAL2, 27.71
1418411649.432s, 0x28, pmu, TJINT, 28.91
1418411649.476s, 0x29, pmu, TDEV1, 26.43
1418411649.481s, 0x2A, pmu, TDEV2, 27.31
1418411649.486s, 0x2B, pmu, TDEV3, 26.29
1418411649.491s, 0x2C, pmu, TDEV4, 29.03
1418411769.428s, 0x00, soc, THERMAL0, 27.71
1418411769.428s, 0x01, soc, THERMAL1, 28.98
1418411769.428s, 0x02, soc, CCC_THERMAL0, 26.87
1418411769.428s, 0x03, soc, CCC_THERMAL1, 26.87
1418411769.428s, 0x04, soc, CCC_THERMAL2, 27.71
1418411769.441s, 0x28, pmu, TJINT, 29.45
1418411769.486s, 0x29, pmu, TDEV1, 26.43
1418411769.491s, 0x2A, pmu, TDEV2, 27.28
1418411769.495s, 0x2B, pmu, TDEV3, 26.29
