s, 0x29, pmu, TDEV1, 26.08
1418760112.678s, 0x2A, pmu, TDEV2, 36.92
1418760112.683s, 0x2B, pmu, TDEV3, 34.19
1418760112.687s, 0x2C, pmu, TDEV4, 42.93
1418760117.402s, 0x00, soc, THERMAL0, 42.90
1418760117.402s, 0x01, soc, THERMAL1, 42.90
1418760117.402s, 0x02, soc, CCC_THERMAL0, 42.90
1418760117.402s, 0x03, soc, CCC_THERMAL1, 44.17
1418760117.402s, 0x04, soc, CCC_THERMAL2, 43.75
1418760117.405s, 0x28, pmu, TJINT, 43.78
1418760117.409s, 0x29, pmu, TDEV1, 32.74
1418760117.414s, 0x2A, pmu, TDEV2, 37.08
1418760117.419s, 0x2B, pmu, TDEV3, 34.44
1418760117.423s, 0x2C, pmu, TDEV4, 43.14
1418760127.145s, 0x00, soc, THERMAL0, 43.75
1418760127.145s, 0x01, soc, THERMAL1, 44.17
1418760127.145s, 0x02, soc, CCC_THERMAL0, 43.75
1418760127.145s, 0x03, soc, CCC_THERMAL1, 45.43
1418760127.145s, 0x04, soc, CCC_THERMAL2, 44.59
1418760127.148s, 0x28, pmu, TJINT, 44.04
1418760127.152s, 0x29, pmu, TDEV1, 32.96
1418760127.157s, 0x2A, pmu, TDEV2, 37.41
1418760127.162s, 0x2B, pmu, TDEV3, 34.88
1418760127.167s, 0x2C, pmu, TDEV4, 43.71
1418760136.494s, 0x00, soc, THERMAL0, 44.59
1418760136.494s, 0x01, soc, THERMAL1, 45.43
1418760136.494s, 0x02, soc, CCC_THERMAL0, 44.59
1418760136.494s, 0x03, soc, CCC_THERMAL1, 45.87
1418760136.494s, 0x04, soc, CCC_THERMAL2, 45.01
1418760136.496s, 0x28, pmu, TJINT, 44.84
1418760136.501s, 0x29, pmu, TDEV1, 33.81
1418760136.506s, 0x2A, pmu, TDEV2, 38.31
1418760136.511s, 0x2B, pmu, TDEV3, 35.59
1418760136.515s, 0x2C, pmu, TDEV4, 44.58
1418760139.723s, 0x00, soc, THERMAL0, 44.59
1418760139.723s, 0x01, soc, THERMAL1, 45.43
1418760139.723s, 0x02, soc, CCC_THERMAL0, 44.59
1418760139.723s, 0x03, soc, CCC_THERMAL1, 45.87
1418760139.723s, 0x04, soc, CCC_THERMAL2, 45.87
1418760139.725s, 0x28, pmu, TJINT, 44.84
1418760139.730s, 0x29, pmu, TDEV1, 34.19
1418760139.735s, 0x2A, pmu, TDEV2, 38.84
1418760139.740s, 0x2B, pmu, TDEV3, 35.90
1418760139.744s, 0x2C, pmu, TDEV4, 44.81
1418760142.176s, 0x00, soc, THERMAL0, 45.01
1418760142.176s, 0x01, soc, THERMAL1, 45.43
1418760142.176s, 0x02, soc, CCC_THERMAL0, 44.59
1418760142.176s, 0x03, soc, CCC_THERMAL1, 45.87
1418760142.176s, 0x04, soc, CCC_THERMAL2, 45.87
1418760142.178s, 0x28, pmu, TJINT, 45.37
1418760142.183s, 0x29, pmu, TDEV1, 34.58
1418760142.188s, 0x2A, pmu, TDEV2, 39.14
1418760142.192s, 0x2B, pmu, TDEV3, 36.11
1418760142.197s, 0x2C, pmu, TDEV4, 45.11
1418760144.167s, 0x00, soc, THERMAL0, 45.01
1418760144.167s, 0x01, soc, THERMAL1, 45.87
1418760144.167s, 0x02, soc, CCC_THERMAL0, 46.23
1418760144.167s, 0x03, soc, CCC_THERMAL1, 46.23
1418760144.167s, 0x04, soc, CCC_THERMAL2, 46.23
1418760144.169s, 0x28, pmu, TJINT, 45.37
1418760144.174s, 0x29, pmu, TDEV1, 34.88
1418760144.179s, 0x2A, pmu, TDEV2, 39.37
1418760144.183s, 0x2B, pmu, TDEV3, 36.32
1418760144.188s, 0x2C, pmu, TDEV4, 45.42
1418760146.180s, 0x00, soc, THERMAL0, 45.43
1418760146.180s, 0x01, soc, THERMAL1, 46.23
1418760146.180s, 0x02, soc, CCC_THERMAL0, 45.87
1418760146.180s, 0x03, soc, CCC_THERMAL1, 46.93
1418760146.180s, 0x04, soc, CCC_THERMAL2, 45.87
1418760146.183s, 0x28, pmu, TJINT, 45.63
1418760146.188s, 0x29, pmu, TDEV1, 35.23
1418760146.192s, 0x2A, pmu, TDEV2, 39.68
1418760146.197s, 0x2B, pmu, TDEV3, 36.59
1418760146.202s, 0x2C, pmu, TDEV4, 45.72
1418760207.092s, 0x00, soc, THERMAL0, 51.15
1418760207.092s, 0x01, soc, THERMAL1, 51.85
1418760207.092s, 0x02, soc, CCC_THERMAL0, 51.50
1418760207.092s, 0x03, soc, CCC_THERMAL1, 52.56
1418760207.092s, 0x04, soc, CCC_THERMAL2, 51.85
1418760207.095s, 0x28, pmu, TJINT, 51.47
1418760207.099s, 0x29, pmu, TDEV1, 41.28
1418760207.104s, 0x2A, pmu, TDEV2, 46.16
1418760207.109s, 0x2B, pmu, TDEV3, 42.57
1418760207.113s, 0x2C, pmu, TDEV4, 52.75
1418760223.334s, 0x00, soc, THERMAL0, 52.90
1418760223.334s, 0x01, soc, THERMAL1, 53.60
1418760223.334s, 0x02, soc, CCC_THERMAL0, 53.96
1418760223.334s, 0x03, soc, CCC_THERMAL1, 54.67
1418760223.334s, 0x04, soc, CCC_THERMAL2, 53.96
1418760223.337s, 0x28, pmu, TJINT, 53.33
1418760223.342s, 0x29, pmu, TDEV1, 43.14
1418760223.346s, 0x2A, pmu, TDEV2, 48.06
1418760223.351s, 0x2B, pmu, TDEV3, 44.60
1418760223.356s, 0x2C, pmu, TDEV4, 54.98
1418760228.128s, 0x00, soc, THERMAL0, 53.96
1418760228.128s, 0x01, soc, THERMAL1, 54.31
1418760228.128s, 0x02, soc, CCC_THERMAL0, 54.31
1418760228.128s, 0x03, soc, CCC_THERMAL1, 55.37
1418760228.128s, 0x04, soc, CCC_THERMAL2, 54.67
1418760228.131s, 0x28, pmu, TJINT, 54.39
1418760228.136s, 0x29, pmu, TDEV1, 43.71
1418760228.140s, 0x2A, pmu, TDEV2, 48.50
1418760228.145s, 0x2B, pmu, TDEV3, 45.21
1418760228.150s, 0x2C, pmu, TDEV4, 55.77
1418760236.756s, 0x00, soc, THERMAL0, 55.01
1418760236.756s, 0x01, soc, THERMAL1, 55.37
1418760236.756s, 0x02, soc, CCC_THERMAL0, 55.01
1418760236.756s, 0x03, soc, CCC_THERMAL1, 56.78
1418760236.756s, 0x04, soc, CCC_THERMAL2, 56.07
1418760236.759s, 0x28, pmu, TJINT, 54.92
1418760236.764s, 0x29, pmu, TDEV1, 44.45
1418760236.768s, 0x2A, pmu, TDEV2, 49.29
1418760236.773s, 0x2B, pmu, TDEV3, 46.32
1418760236.778s, 0x2C, pmu, TDEV4, 56.94
1418760239.040s, 0x00, soc, THERMAL0, 55.37
1418760239.040s, 0x01, soc, THERMAL1, 55.37
1418760239.040s, 0x02, soc, CCC_THERMAL0, 55.71
1418760239.040s, 0x03, soc, CCC_THERMAL1, 56.42
1418760239.040s, 0x04, soc, CCC_THERMAL2, 56.07
1418760239.042s, 0x28, pmu, TJINT, 55.72
1418760239.047s, 0x29, pmu, TDEV1, 44.68
1418760239.052s, 0x2A, pmu, TDEV2, 49.48
1418760239.057s, 0x2B, pmu, TDEV3, 46.48
1418760239.061s, 0x2C, pmu, TDEV4, 57.30
1418760241.184s, 0x00, soc, THERMAL0, 55.01
1418760241.184s, 0x01, soc, THERMAL1, 55.37
1418760241.184s, 0x02, soc, CCC_THERMAL0, 56.07
1418760241.184s, 0x03, soc, CCC_THERMAL1, 57.12
1418760241.184s, 0x04, soc, CCC_THERMAL2, 56.42
1418760241.186s, 0x28, pmu, TJINT, 55.72
1418760241.191s, 0x29, pmu, TDEV1, 44.75
1418760241.196s, 0x2A, pmu, TDEV2, 49.66
1418760241.201s, 0x2B, pmu, TDEV3, 46.64
1418760241.205s, 0x2C, pmu, TDEV4, 57.42
1418760243.433s, wrote at: 2014.12.16.20.4.3
